time_trame,label,acc_x_1,acc_y_1,acc_z_1,acc_x_2,acc_y_2,acc_z_2,acc_x_3,acc_y_3,acc_z_3,acc_x_4,acc_y_4,acc_z_4,acc_x_5,acc_y_5,acc_z_5,acc_x_6,acc_y_6,acc_z_6,acc_x_7,acc_y_7,acc_z_7,acc_x_8,acc_y_8,acc_z_8,acc_x_9,acc_y_9,acc_z_9,acc_x_10,acc_y_10,acc_z_10,acc_x_11,acc_y_11,acc_z_11,acc_x_12,acc_y_12,acc_z_12,acc_x_13,acc_y_13,acc_z_13,acc_x_14,acc_y_14,acc_z_14,acc_x_15,acc_y_15,acc_z_15,acc_x_16,acc_y_16,acc_z_16,acc_x_17,acc_y_17,acc_z_17,acc_x_18,acc_y_18,acc_z_18,acc_x_19,acc_y_19,acc_z_19,acc_x_20,acc_y_20,acc_z_20,gyro_x_1,gyro_y_1,gyro_z_1,gyro_x_2,gyro_y_2,gyro_z_2,gyro_x_3,gyro_y_3,gyro_z_3,gyro_x_4,gyro_y_4,gyro_z_4,gyro_x_5,gyro_y_5,gyro_z_5
549.75,0,0.562176,0.374784,-0.562176,0.562176,0.374784,-0.562176,0.562176,0.374784,-0.562176,0.562176,0.374784,-0.749568,0.562176,0.374784,-0.749568,0.562176,0.374784,-0.749568,0.562176,0.374784,-0.562176,0.562176,0.374784,-0.562176,0.562176,0.374784,-0.562176,0.562176,0.374784,-0.562176,0.562176,0.374784,-0.562176,0.562176,0.187392,-0.749568,0.562176,0.187392,-0.562176,0.562176,0.187392,-0.749568,0.749568,0.187392,-0.749568,0.93696,0.0,-0.749568,0.749568,0.0,-0.749568,0.562176,0.0,-0.562176,0.562176,-0.187392,-0.562176,0.374784,-0.187392,-0.749568,0.0,35.84,17.92,-35.84,35.84,17.92,-53.760000000000005,17.92,35.84,-53.760000000000005,17.92,35.84,-53.760000000000005,35.84,35.84
550.0,0,0.374784,-0.187392,-0.749568,0.562176,-0.187392,-0.749568,0.562176,-0.187392,-0.749568,0.562176,-0.187392,-0.749568,0.562176,-0.187392,-0.749568,0.562176,-0.187392,-0.562176,0.562176,-0.187392,-0.562176,0.562176,-0.187392,-0.562176,0.562176,-0.187392,-0.749568,0.562176,0.0,-0.749568,0.562176,0.0,-0.749568,0.374784,0.0,-0.749568,0.374784,0.0,-0.749568,0.374784,0.0,-0.749568,0.374784,0.0,-0.749568,0.374784,0.0,-0.749568,0.374784,0.0,-0.749568,0.374784,0.0,-0.749568,0.374784,0.0,-0.749568,0.374784,0.0,-0.749568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550.25,0,0.374784,0.0,-0.749568,0.374784,0.0,-0.749568,0.374784,0.0,-0.749568,0.374784,0.0,-0.749568,0.187392,0.0,-0.93696,0.187392,0.0,-0.93696,0.187392,0.0,-0.93696,0.187392,0.187392,-0.93696,0.187392,0.187392,-0.93696,0.187392,0.187392,-0.93696,0.187392,0.187392,-0.93696,0.187392,0.187392,-0.93696,0.187392,0.187392,-0.93696,0.187392,0.187392,-1.124352,0.187392,0.187392,-0.93696,0.187392,0.187392,-1.124352,0.187392,0.187392,-1.124352,0.187392,0.187392,-1.124352,0.187392,0.374784,-1.124352,0.187392,0.374784,-1.124352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550.5,0,0.187392,0.374784,-1.124352,0.187392,0.374784,-1.124352,0.187392,0.374784,-1.124352,0.187392,0.374784,-1.124352,0.187392,0.374784,-1.124352,0.187392,0.374784,-1.124352,0.187392,0.374784,-1.124352,0.187392,0.562176,-1.124352,0.187392,0.562176,-1.124352,0.187392,0.562176,-1.124352,0.187392,0.562176,-1.124352,0.187392,0.562176,-1.124352,0.187392,0.562176,-1.311744,0.187392,0.749568,-1.311744,0.187392,0.749568,-1.311744,0.187392,0.749568,-1.311744,0.187392,0.749568,-1.311744,0.0,0.749568,-1.499136,0.0,0.749568,-1.499136,0.187392,0.93696,-1.499136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550.75,0,0.0,0.749568,-1.499136,0.0,0.749568,-1.499136,0.0,0.749568,-1.499136,0.0,0.749568,-1.499136,0.0,0.749568,-1.499136,0.0,0.749568,-1.499136,0.0,0.749568,-1.499136,0.187392,0.749568,-1.311744,0.187392,0.562176,-1.311744,0.187392,0.562176,-1.311744,0.187392,0.562176,-1.311744,0.187392,0.562176,-1.311744,0.187392,0.562176,-1.311744,0.187392,0.562176,-1.311744,0.187392,0.562176,-1.124352,0.187392,0.562176,-1.124352,0.187392,0.562176,-1.124352,0.187392,0.562176,-1.124352,0.187392,0.562176,-1.124352,0.187392,0.562176,-1.124352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
551.0,0,0.374784,0.562176,-1.124352,0.374784,0.562176,-0.93696,0.374784,0.374784,-0.93696,0.374784,0.374784,-0.93696,0.374784,0.374784,-0.93696,0.374784,0.374784,-0.749568,0.374784,0.187392,-0.749568,0.374784,0.187392,-0.749568,0.374784,0.0,-0.749568,0.187392,0.0,-0.749568,0.187392,0.0,-0.562176,0.187392,0.0,-0.562176,0.0,-0.187392,-0.562176,0.187392,-0.187392,-0.562176,0.187392,-0.187392,-0.562176,0.187392,-0.187392,-0.562176,0.374784,-0.187392,-0.562176,0.374784,0.0,-0.562176,0.374784,0.0,-0.562176,0.374784,0.0,-0.562176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
551.25,0,0.374784,0.0,-0.562176,0.374784,0.0,-0.562176,0.374784,0.0,-0.562176,0.374784,0.0,-0.562176,0.374784,-0.187392,-0.562176,0.374784,-0.187392,-0.562176,0.374784,-0.187392,-0.562176,0.374784,-0.187392,-0.562176,0.562176,-0.187392,-0.562176,0.562176,-0.187392,-0.562176,0.562176,-0.187392,-0.562176,0.562176,-0.187392,-0.562176,0.562176,-0.187392,-0.562176,0.562176,-0.187392,-0.562176,0.562176,-0.187392,-0.562176,0.562176,-0.187392,-0.562176,0.562176,-0.187392,-0.562176,0.749568,-0.187392,-0.562176,0.749568,-0.187392,-0.562176,0.749568,-0.187392,-0.562176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
551.5,0,0.749568,-0.187392,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.562176,1.124352,0.0,-0.562176,1.124352,0.0,-0.562176,1.124352,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,1.124352,0.0,-0.374784,1.311744,0.0,-0.374784,1.124352,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.374784,1.124352,0.0,-0.374784,1.124352,0.0,-0.187392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
551.75,0,1.124352,0.0,-0.187392,1.124352,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,1.124352,0.0,-0.187392,1.124352,0.0,-0.187392,1.124352,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552.0,0,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552.25,0,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,1.124352,0.0,-0.562176,1.311744,0.0,-0.562176,1.311744,-0.187392,-0.562176,1.311744,-0.374784,-0.562176,1.124352,-0.374784,-0.562176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552.5,0,1.124352,-0.374784,-0.562176,1.124352,-0.374784,-0.749568,0.93696,-0.187392,-0.562176,0.93696,0.0,-0.562176,0.749568,0.0,-0.562176,0.93696,-0.187392,-0.562176,0.93696,-0.187392,-0.562176,0.93696,-0.187392,-0.562176,0.749568,-0.187392,-0.562176,0.749568,-0.187392,-0.562176,0.749568,-0.187392,-0.562176,0.749568,-0.187392,-0.562176,0.749568,-0.187392,-0.562176,0.749568,-0.187392,-0.562176,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552.75,0,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
553.0,0,0.749568,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.562176,1.124352,-0.187392,-0.749568,1.499136,0.0,-0.562176,1.499136,0.187392,-0.562176,1.124352,0.187392,-0.749568,0.93696,0.374784,-0.749568,0.93696,0.187392,-0.562176,0.93696,0.187392,-0.749568,0.93696,0.0,-0.749568,0.749568,0.0,-0.749568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
553.25,0,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.374784,0.749568,0.187392,-0.374784,0.749568,0.187392,-0.374784,0.749568,0.187392,-0.374784,0.749568,0.0,-0.374784,0.749568,0.0,-0.374784,0.749568,0.0,-0.374784,0.749568,0.0,-0.374784,0.749568,0.187392,-0.374784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
553.5,0,0.749568,0.187392,-0.374784,0.749568,0.187392,-0.374784,0.749568,0.187392,-0.374784,0.749568,0.187392,-0.374784,0.749568,0.187392,-0.374784,0.749568,0.187392,-0.374784,0.749568,0.187392,-0.374784,0.749568,0.187392,-0.374784,0.749568,0.187392,-0.374784,0.749568,0.0,-0.374784,0.749568,0.0,-0.374784,0.749568,0.0,-0.374784,0.749568,0.0,-0.374784,0.749568,0.0,-0.374784,0.749568,0.0,-0.374784,0.749568,0.0,-0.374784,0.749568,0.0,-0.374784,0.749568,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
553.75,0,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.562176,1.124352,0.0,-0.562176,1.124352,0.0,-0.562176,1.311744,0.0,-0.562176,1.124352,-0.187392,-0.562176,0.93696,-0.187392,-0.562176,0.93696,0.0,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.93696,0.0,-0.562176,0.93696,0.0,-0.562176,0.93696,-0.187392,-0.562176,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.562176,0.93696,-0.187392,-0.562176,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
554.0,0,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
554.25,0,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,1.124352,-0.187392,-0.374784,1.124352,0.0,-0.562176,1.124352,0.0,-0.374784,1.124352,0.0,-0.374784,1.124352,0.0,-0.562176,1.124352,0.0,-0.374784,1.124352,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.187392,-0.374784,0.93696,0.187392,-0.562176,0.93696,0.187392,-0.562176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
554.5,0,0.93696,0.374784,-0.562176,0.93696,0.374784,-0.562176,0.749568,0.187392,-0.562176,0.93696,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.374784,0.749568,0.187392,-0.374784,0.749568,0.187392,-0.374784,0.749568,0.187392,-0.374784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
554.75,0,0.749568,0.187392,-0.374784,0.93696,0.187392,-0.374784,0.93696,0.187392,-0.374784,0.93696,0.187392,-0.374784,0.93696,0.187392,-0.374784,0.93696,0.187392,-0.374784,0.93696,0.187392,-0.374784,0.93696,0.187392,-0.374784,0.93696,0.187392,-0.374784,0.93696,0.187392,-0.562176,0.93696,0.187392,-0.562176,0.93696,0.0,-0.562176,0.749568,0.187392,-0.562176,0.93696,0.187392,-0.562176,0.93696,0.187392,-0.374784,0.93696,0.187392,-0.562176,0.93696,0.0,-0.374784,0.93696,0.187392,-0.374784,0.93696,0.0,-0.562176,0.93696,0.187392,-0.374784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
555.0,0,0.93696,0.0,-0.562176,0.93696,0.0,-0.562176,0.93696,0.0,-0.562176,0.93696,0.0,-0.562176,0.93696,0.0,-0.562176,0.93696,0.0,-0.562176,0.93696,0.0,-0.562176,0.93696,0.0,-0.562176,0.93696,0.0,-0.562176,0.93696,0.0,-0.562176,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.562176,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
555.25,0,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.749568,0.0,-0.374784,0.749568,0.0,-0.374784,0.749568,-0.187392,-0.374784,0.749568,0.0,-0.374784,0.749568,0.0,-0.374784,0.749568,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.749568,0.0,-0.374784,35.84,0.0,-17.92,35.84,0.0,-17.92,17.92,0.0,-17.92,17.92,0.0,-17.92,17.92,-17.92,-17.92
555.5,0,0.749568,0.0,-0.374784,0.749568,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.187392,-0.374784,0.93696,0.187392,-0.374784,0.93696,0.187392,-0.374784,0.93696,0.187392,-0.374784,0.93696,0.187392,-0.374784,0.93696,0.187392,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,17.92,-17.92,-35.84,0.0,-17.92,-17.92,0.0,-17.92,-17.92,-17.92,0.0,0.0,-35.84,0.0,0.0
555.75,0,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,-17.92,0.0,0.0,-17.92,0.0,0.0,-17.92,0.0,0.0,-17.92,0.0,0.0,-17.92,0.0,0.0
556.0,0,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,-17.92,0.0,0.0,-17.92,0.0,0.0,-17.92,0.0,0.0,-17.92,0.0,0.0,0.0,0.0,0.0
556.25,0,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,-0.187392,-0.374784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
556.5,0,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.92,0.0,0.0,-17.92,0.0,0.0
556.75,0,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.187392,-35.84,0.0,0.0,-35.84,0.0,17.92,-53.760000000000005,0.0,17.92,-53.760000000000005,0.0,17.92,-53.760000000000005,0.0,17.92
557.0,0,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.187392,0.93696,0.0,-0.187392,-53.760000000000005,0.0,17.92,-53.760000000000005,0.0,17.92,-53.760000000000005,0.0,35.84,-53.760000000000005,0.0,17.92,-71.68,0.0,17.92
557.25,0,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.187392,1.124352,-0.187392,-0.187392,1.124352,-0.187392,-0.187392,1.124352,-0.187392,-0.187392,1.124352,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,-71.68,-17.92,35.84,-53.760000000000005,0.0,35.84,-71.68,-17.92,35.84,-53.760000000000005,-17.92,35.84,-53.760000000000005,-17.92,35.84
557.5,0,0.93696,0.0,-0.187392,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.187392,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.187392,-0.374784,0.93696,0.187392,-0.374784,0.93696,0.187392,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.187392,-0.374784,0.93696,0.187392,-0.374784,0.93696,0.187392,-0.374784,-35.84,-17.92,17.92,-35.84,-17.92,17.92,-35.84,-17.92,17.92,-35.84,0.0,17.92,-35.84,0.0,17.92
557.75,0,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.374784,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.374784,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.187392,-17.92,0.0,17.92,-17.92,0.0,17.92,-35.84,0.0,17.92,-17.92,0.0,17.92,-17.92,17.92,17.92
558.0,0,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.187392,0.93696,0.374784,-0.187392,0.93696,0.374784,-0.187392,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.374784,0.93696,0.374784,-0.374784,0.749568,0.374784,-0.374784,0.749568,0.374784,-0.374784,0.749568,0.374784,-0.374784,0.93696,0.374784,-0.374784,0.93696,0.374784,-0.374784,-17.92,17.92,17.92,-17.92,17.92,35.84,-35.84,17.92,35.84,-35.84,35.84,35.84,-35.84,35.84,35.84
